eventId,eventType,occurredAt,userSub,username,department,clientId,chainId,ipAddress,userAgent,successful,synthetic_label,anomaly_type
1ae288fc-19a2-43de-9d9d-8998d52a0224,identidad.login,2026-01-01 02:44:01,U000019,user019,emergencias,citypass-admin-web,,10.9.249.142,Chrome-Windows,True,1,unusual_hour
8a0ae81e-3598-4428-b071-1909bdd38e04,identidad.refresh,2026-01-01 07:21:59,U000064,user064,movilidad,citypass-admin-web,562535fe-44f8-45de-98dd-76eb259c25e1,10.19.247.252,Edge-Windows,True,1,unusual_client
743d468a-7d52-456e-93e2-2306cc4c69a7,identidad.login,2026-01-01 08:10:54,U000054,user054,movilidad,citypass-mobile,,10.15.142.181,Chrome-Windows,True,0,normal
a0bfa9db-dfd5-419d-b131-5152142fad86,identidad.refresh,2026-01-01 08:16:45,U000077,user077,movilidad,citypass-admin-web,b6260211-27ab-4590-ba76-8ea1b5adc23d,10.1.229.193,Chrome-Android,True,0,normal
39c8c290-a44d-479e-954b-6322d4411082,identidad.refresh,2026-01-01 08:51:02,U000075,user075,movilidad,citypass-admin-web,511ae535-9067-44c1-9888-d99b983a392e,10.16.157.218,Chrome-Android,True,0,normal
6fafaf52-0af6-4ec1-8075-06f8d303705b,identidad.refresh,2026-01-01 08:59:58,U000043,user043,analitica,citypass-admin-web,d795aa75-108e-4c8b-8f8d-ed601a599f04,10.6.18.153,Edge-Windows,True,0,normal
53214178-9efb-48af-b844-c8cef2745701,identidad.login,2026-01-01 09:04:11,U000173,user173,movilidad,citypass-mobile,,70.194.102.126,Edge-Windows,True,1,new_ip
d822d1e4-113a-45e3-a1d8-bc14754627d5,identidad.login,2026-01-01 09:10:37,U000081,user081,reclamos,citypass-mobile,,10.9.193.64,Chrome-Android,True,0,normal
3c81d93e-e47a-445d-9bbb-ed467f18614b,identidad.login,2026-01-01 09:11:35,U000042,user042,emergencias,citypass-admin-web,,10.16.129.236,Chrome-Windows,True,0,normal
d31ee494-6ae3-46fd-9666-63a9cceb9a04,identidad.logout,2026-01-01 09:12:51,U000141,,emergencias,citypass-mobile,4bc6e5f5-104d-447f-8b0c-2748ec0df48c,10.5.222.18,Chrome-Android,True,0,normal
